ent,kind,hand_code
in,O,O
the,O,O
surrounding,O,O
counties,O,O
.,O,O
In-fighting,O,O
",",O,O
famine,O,O
and,O,O
disease,O,O
took,O,O
their,O,O
toll,O,O
on,O,O
the,O,O
survivors,O,O
.,O,O
Now,O,O
",",O,O
twenty,O,O
years,O,O
after,O,O
the,O,O
bombs,O,O
fell,O,O
and,O,O
the,O,O
plagues,O,O
ran,O,O
their,O,O
course,O,O
the,O,O
few,O,O
that,O,O
remain,O,O
live,O,O
in,O,O
fear,O,O
and,O,O
without,O,O
hope,O,O
.,O,O
Azura,PERSON,PERSON
Skye,PERSON,PERSON
stars,O,O
as,O,O
Sarah,PERSON,PERSON
in,O,O
this,O,O
Post-Apocalyptic,O,O
Fairy,O,O
Tale,O,O
about,O,O
a,O,O
young,O,O
woman,O,O
's,O,O
journey,O,O
to,O,O
deliver,O,O
the,O,O
first,O,O
child,O,O
born,O,O
in,O,O
15,O,O
Years,O,O
.,O,O
Sarah,PERSON,PERSON
's,O,O
refusal,O,O
to,O,O
give,O,O
up,O,O
is,O,O
inspired,O,O
by,O,O
a,O,O
lone,O,O
voice,O,O
on,O,O
her,O,O
radio,O,O
.,O,O
Michael,PERSON,PERSON
broadcasts,O,O
dim,O,O
and,O,O
distant,O,O
messages,O,O
of,O,O
hope,O,O
mixed,O,O
with,O,O
the,O,O
music,O,O
he,O,O
scavenges,O,O
from,O,O
the,O,O
dead,O,O
.,O,O
Forced,O,O
from,O,O
her,O,O
basement,O,O
home,O,O
by,O,O
drought,O,O
and,O,O
relentlessly,O,O
pursued,O,O
by,O,O
those,O,O
who,O,O
want,O,O
her,O,O
baby,O,O
",",O,O
Sarah,PERSON,PERSON
crosses,O,O
paths,O,O
with,O,O
Michael,PERSON,PERSON
in,O,O
a,O,O
cavernous,O,O
",",O,O
underground,O,O
refuge,O,O
of,O,O
disparate,O,O
survivors,O,O
.,O,O
It,O,O
is,O,O
from,O,O
Three,O,LOCATION
Caves,O,LOCATION
that,O,O
Michael,PERSON,PERSON
and,O,O
Sarah,PERSON,PERSON
will,O,O
embark,O,O
on,O,O
a,O,O
journey,O,O
beyond,O,O
the,O,O
boundaries,O,O
of,O,O
the,O,O
Southern,ORGANIZATION,LOCATION
Corridor,ORGANIZATION,LOCATION
and,O,O
into,O,O
the,O,O
unknown,O,O
future,O,O
.,O,O
Geophysicist,O,O
Adrian,PERSON,PERSON
Helmsley,PERSON,PERSON
officially,O,O
visits,O,O
India,LOCATION,LOCATION
's,O,O
Dr.,O,O
Satnam,PERSON,PERSON
Tsurutani,PERSON,PERSON
",",O,O
his,O,O
pretty,O,O
wife,O,O
",",O,O
Aparna,PERSON,PERSON
",",O,O
and,O,O
their,O,O
son,O,O
.,O,O
From,O,O
thence,O,O
",",O,O
he,O,O
is,O,O
led,O,O
to,O,O
the,O,O
world,O,O
's,O,O
deepest,O,O
copper,O,O
mine,O,O
",",O,O
where,O,O
he,O,O
finds,O,O
evidence,O,O
that,O,O
the,O,O
Earth,LOCATION,LOCATION
's,O,O
crust,O,O
is,O,O
heating,O,O
up,O,O
faster,O,O
than,O,O
expected,O,O
.,O,O
He,O,O
quickly,O,O
collects,O,O
evidence,O,O
",",O,O
and,O,O
presents,O,O
it,O,O
before,O,O
the,O,O
President,O,PERSON
of,O,O
the,O,O
United,LOCATION,LOCATION
States,LOCATION,LOCATION
.,O,O
Expecting,O,O
the,O,O
news,O,O
to,O,O
hit,O,O
leading,O,O
media,O,O
",",O,O
he,O,O
is,O,O
instead,O,O
stunned,O,O
when,O,O
he,O,O
learns,O,O
that,O,O
the,O,O
powers-that-be,O,O
have,O,O
no,O,O
intention,O,O
of,O,O
publicizing,O,O
this,O,O
catastrophe,O,O
",",O,O
and,O,O
are,O,O
intent,O,O
on,O,O
saving,O,O
wealthy,O,O
families,O,O
that,O,O
can,O,O
shell,O,O
out,O,O
a,O,O
billion,O,O
Euros,O,O
per,O,O
family,O,O
on,O,O
four,O,O
mammoth,O,O
arks,O,O
-,O,O
without,O,O
realizing,O,O
that,O,O
if,O,O
the,O,O
Earth,LOCATION,O
is,O,O
indeed,O,O
headed,O,O
for,O,O
the,O,O
prophetic,O,O
self-destruction,O,O
on,O,O
21,O,O
December,O,O
2012,O,O
-,O,O
how,O,O
can,O,O
arks,O,O
and,O,O
it,O,O
's,O,O
wealthy,O,O
inhabitants,O,O
survive,O,O
?,O,O
A,O,O
short,O,O
film,O,O
adaptation,O,O
of,O,O
Kurt,PERSON,PERSON
Vonnegut,PERSON,PERSON
's,O,O
Harrison,PERSON,PERSON
Bergeron,PERSON,PERSON
",",O,O
2081,O,O
depicts,O,O
a,O,O
dystopian,O,O
future,O,O
in,O,O
which,O,O
",",O,O
thanks,O,O
to,O,O
the,O,O
212th,O,O
Amendment,O,O
to,O,O
the,O,O
Constitution,O,O
and,O,O
the,O,O
unceasing,O,O
vigilance,O,O
of,O,O
the,O,O
United,LOCATION,LOCATION
States,LOCATION,LOCATION
Handicapper,O,PERSON
General,O,PERSON
",",O,O
everyone,O,O
is,O,O
``,O,O
finally,O,O
equal,O,O
...,O,O
.,O,O
'',O,O
The,O,O
strong,O,O
wear,O,O
weights,O,O
",",O,O
the,O,O
beautiful,O,O
wear,O,O
masks,O,O
and,O,O
the,O,O
intelligent,O,O
wear,O,O
earpieces,O,O
that,O,O
fire,O,O
off,O,O
loud,O,O
noises,O,O
to,O,O
keep,O,O
them,O,O
from,O,O
taking,O,O
unfair,O,O
advantage,O,O
of,O,O
their,O,O
brains,O,O
.,O,O
It,O,O
is,O,O
a,O,O
poetic,O,O
tale,O,O
of,O,O
triumph,O,O
and,O,O
tragedy,O,O
about,O,O
a,O,O
broken,O,O
family,O,O
",",O,O
a,O,O
brutal,O,O
government,O,O
",",O,O
and,O,O
an,O,O
act,O,O
of,O,O
defiance,O,O
that,O,O
changes,O,O
everything,O,O
.,O,O
Featuring,O,O
an,O,O
original,O,O
score,O,O
performed,O,O
by,O,O
the,O,O
world-renowned,O,O
Kronos,O,ORGANIZATION
Quartet,O,ORGANIZATION
(,O,O
Requiem,O,O
for,O,O
a,O,O
Dream,O,O
),O,O
and,O,O
narration,O,O
by,O,O
Academy,O,ORGANIZATION
Award,O,ORGANIZATION
Nominee,O,O
Patricia,PERSON,PERSON
Clarkson,PERSON,PERSON
(,O,O
Far,O,O
From,O,O
Heaven,O,O
",",O,O
Goodnight,O,O
and,O,O
Good,O,O
Luck,O,O
),O,O
",",O,O
2081,O,O
stars,O,O
James,PERSON,PERSON
Cosmo,PERSON,PERSON
(,O,O
Braveheart,O,O
",",O,O
Trainspotting,O,O
),O,O
",",O,O
Julie,PERSON,PERSON
Hagerty,PERSON,PERSON
(,O,O
Airplane,O,O
!,O,O
",",O,O
What,O,O
About,O,O
Bob,PERSON,PERSON
?,O,O
),O,O
and,O,O
Armie,PERSON,PERSON
Hammer,PERSON,PERSON
(,O,O
The,O,O
Social,O,O
Network,O,O
),O,O
.,O,O
